iter	Passed	Remaining
401	16774	24953
402	16816	24912
403	16858	24870
404	16900	24829
405	16940	24785
406	16986	24749
407	17035	24718
408	17082	24684
409	17130	24651
410	17187	24631
411	17234	24596
412	17282	24563
413	17322	24519
414	17363	24476
415	17406	24435
416	17450	24397
417	17496	24360
418	17543	24326
419	17587	24287
420	17632	24250
421	17679	24215
422	17728	24183
423	17771	24141
424	17817	24106
425	17866	24073
426	17975	24121
427	18019	24082
428	18063	24042
429	18110	24007
430	18151	23963
431	18193	23921
432	18235	23879
433	18279	23838
434	18334	23813
435	18389	23787
436	18476	23803
437	18603	23870
438	18663	23849
439	18739	23850
440	18785	23811
441	18828	23770
442	18867	23722
443	18907	23676
444	18946	23630
445	18987	23585
446	19027	23540
447	19068	23495
448	19109	23450
449	19151	23406
450	19190	23360
451	19231	23316
452	19271	23270
453	19312	23226
454	19353	23181
455	19394	23137
456	19435	23092
457	19473	23045
458	19516	23002
459	19558	22959
460	19599	22916
461	19639	22870
462	19675	22820
463	19714	22773
464	19753	22726
465	19798	22687
466	19840	22644
467	19885	22604
468	19932	22567
469	19975	22525
470	20017	22482
471	20057	22436
472	20096	22390
473	20134	22342
474	20170	22294
475	20210	22247
476	20248	22200
477	20285	22152
478	20323	22105
479	20360	22057
480	20397	22008
481	20435	21962
482	20472	21913
483	20510	21866
484	20546	21816
485	20583	21769
486	20620	21721
487	20656	21672
488	20694	21625
489	20730	21577
490	20769	21530
491	20805	21482
492	20844	21436
493	20881	21389
494	20918	21341
495	20958	21296
496	20996	21250
497	21043	21212
498	21094	21178
499	21143	21143
500	21200	21116
501	21252	21082
502	21295	21041
503	21333	20994
504	21372	20949
505	21410	20903
506	21448	20856
507	21487	20810
508	21524	20763
509	21563	20717
510	21602	20671
511	21640	20625
512	21679	20580
513	21718	20535
514	21754	20487
515	21791	20439
516	21827	20391
517	21863	20343
518	21902	20298
519	21941	20253
520	21979	20207
521	22019	20163
522	22057	20117
523	22094	20070
524	22131	20023
525	22168	19976
526	22203	19928
527	22240	19881
528	22277	19835
529	22319	19792
530	22359	19748
531	22401	19706
532	22440	19662
533	22484	19620
534	22525	19578
535	22564	19533
536	22600	19486
537	22638	19440
538	22677	19395
539	22716	19351
540	22755	19306
541	22792	19260
542	22830	19214
543	22866	19167
544	22902	19120
545	22936	19071
546	22972	19024
547	23009	18978
548	23048	18934
549	23089	18891
550	23135	18852
551	23183	18815
552	23221	18770
553	23258	18724
554	23297	18680
555	23333	18633
556	23372	18588
557	23411	18544
558	23446	18497
559	23481	18450
560	23520	18405
561	23558	18360
562	23602	18319
563	23643	18277
564	23696	18244
565	23737	18201
566	23783	18162
567	23824	18119
568	23861	18074
569	23899	18029
570	23935	17983
571	23975	17939
572	24011	17893
573	24046	17846
574	24082	17800
575	24118	17753
576	24154	17707
577	24192	17662
578	24228	17616
579	24266	17571
580	24303	17526
581	24338	17480
582	24374	17434
583	24410	17388
584	24446	17342
585	24483	17297
586	24519	17251
587	24555	17205
588	24594	17161
589	24633	17118
590	24670	17073
591	24706	17027
592	24742	16981
593	24778	16936
594	24814	16890
595	24854	16847
596	24902	16810
597	24943	16767
598	24989	16729
599	25033	16688
600	25074	16646
601	25115	16604
602	25154	16561
603	25191	16516
604	25229	16472
605	25267	16428
606	25307	16385
607	25346	16342
608	25385	16298
609	25421	16253
610	25457	16207
611	25495	16163
612	25531	16118
613	25569	16074
614	25607	16030
615	25644	15986
616	25681	15941
617	25716	15896
618	25753	15851
619	25791	15807
620	25827	15762
621	25866	15719
622	25903	15674
623	25940	15630
624	25978	15586
625	26016	15543
626	26053	15499
627	26091	15455
628	26132	15413
629	26173	15372
630	26217	15331
631	26265	15293
632	26372	15290
633	26483	15288
634	26531	15250
635	26575	15210
636	26612	15165
637	26651	15122
638	26688	15077
639	26726	15033
640	26763	14989
641	26796	14942
642	26833	14897
643	26867	14852
644	26899	14805
645	26932	14758
646	26971	14715
647	27004	14669
648	27042	14625
649	27077	14580
650	27115	14536
651	27150	14491
652	27187	14447
653	27228	14405
654	27270	14363
655	27311	14321
656	27346	14277
657	27383	14232
658	27418	14187
659	27462	14147
660	27501	14104
661	27546	14064
662	27589	14023
663	27630	13981
664	27677	13942
665	27723	13903
666	27767	13862
667	27808	13820
668	27847	13777
669	27881	13732
670	27915	13687
671	27950	13642
672	27989	13599
673	28029	13557
674	28097	13528
675	28156	13495
676	28258	13482
677	28322	13450
678	28379	13416
679	28448	13387
680	28554	13375
681	28609	13339
682	28670	13306
683	28729	13272
684	28782	13235
685	28836	13198
686	28884	13159
687	28932	13120
688	28980	13081
689	29027	13041
690	29078	13003
691	29119	12960
692	29162	12919
693	29204	12876
694	29246	12834
695	29286	12791
696	29326	12748
697	29365	12705
698	29403	12661
699	29444	12619
700	29503	12584
701	29574	12554
702	29691	12543
703	29746	12507
704	29796	12468
705	29857	12433
706	29910	12395
707	29961	12357
708	30005	12315
709	30102	12295
710	30148	12254
711	30196	12214
712	30249	12176
713	30299	12136
714	30352	12098
715	30398	12057
716	30443	12016
717	30483	11972
718	30527	11930
719	30571	11888
720	30620	11849
721	30676	11811
722	30762	11785
723	30847	11759
724	30918	11727
725	30972	11689
726	31011	11645
727	31051	11601
728	31087	11556
729	31122	11511
730	31158	11465
731	31192	11420
732	31227	11374
733	31266	11330
734	31301	11285
735	31335	11239
736	31369	11194
737	31403	11148
738	31439	11103
739	31480	11060
740	31517	11016
741	31557	10972
742	31598	10929
743	31637	10886
744	31674	10841
745	31709	10796
746	31742	10750
747	31776	10705
748	31810	10660
749	31846	10615
750	31881	10570
751	31913	10524
752	31947	10479
753	32006	10442
754	32165	10437
755	32265	10413
756	32373	10392
757	32551	10392
758	32630	10361
759	32703	10327
760	32883	10327
761	33021	10313
762	33104	10282
763	33175	10247
764	33264	10218
765	33343	10185
766	33417	10151
767	33500	10119
768	33596	10092
769	33679	10060
770	33749	10024
771	33828	9990
772	33914	9959
773	34025	9935
774	34131	9909
775	34275	9894
776	34362	9862
777	34446	9829
778	34511	9790
779	34560	9747
780	34632	9711
781	34688	9670
782	34735	9626
783	34781	9582
784	34829	9539
785	34900	9502
786	34964	9463
787	35026	9423
788	35076	9380
789	35124	9336
790	35172	9293
791	35228	9251
792	35281	9209
793	35410	9187
794	35533	9162
795	35660	9139
796	35813	9121
797	35956	9101
798	36090	9079
799	36179	9044
800	36267	9010
801	36336	8970
802	36410	8932
803	36475	8892
804	36541	8851
805	36599	8809
806	36689	8774
807	36832	8752
808	36972	8729
809	37183	8722
810	37266	8684
811	37381	8654
812	37474	8619
813	37545	8579
814	37607	8536
815	37666	8493
816	37745	8454
817	37805	8411
818	37877	8371
819	37945	8329
820	38010	8287
821	38072	8244
822	38130	8200
823	38187	8156
824	38259	8115
825	38333	8075
826	38405	8034
827	38491	7995
828	38590	7960
829	38677	7921
830	38760	7882
831	38856	7845
832	38927	7804
833	39002	7763
834	39067	7719
835	39133	7676
836	39201	7634
837	39321	7601
838	39457	7571
839	39535	7530
840	39620	7490
841	39696	7448
842	39778	7408
843	39846	7364
844	39945	7327
845	40014	7283
846	40090	7241
847	40178	7201
848	40248	7158
849	40316	7114
850	40379	7069
851	40446	7025
852	40523	6983
853	40589	6939
854	40664	6896
855	40746	6854
856	40821	6811
857	40914	6771
858	41001	6730
859	41079	6687
860	41152	6643
861	41230	6600
862	41298	6555
863	41396	6516
864	41556	6485
865	41666	6447
866	41760	6406
867	41815	6359
868	41877	6312
869	41964	6270
870	42035	6225
871	42109	6181
872	42189	6137
873	42258	6092
874	42324	6046
875	42403	6002
876	42468	5956
877	42524	5908
878	42583	5861
879	42635	5813
880	42688	5766
881	42770	5722
882	42845	5677
883	42925	5632
884	42991	5586
885	43060	5540
886	43121	5493
887	43178	5445
888	43237	5398
889	43300	5351
890	43364	5305
891	43431	5258
892	43503	5212
893	43571	5166
894	43635	5119
895	43697	5072
896	43757	5024
897	43935	4990
898	44063	4950
899	44141	4904
900	44221	4858
901	44284	4811
902	44350	4764
903	44432	4718
904	44496	4670
905	44553	4622
906	44618	4575
907	44688	4527
908	44754	4480
909	44811	4431
910	44867	4383
911	44932	4335
912	44997	4287
913	45049	4238
914	45109	4190
915	45162	4141
916	45216	4092
917	45270	4043
918	45325	3994
919	45388	3946
920	45459	3899
921	45534	3852
922	45622	3805
923	45701	3759
924	45765	3710
925	45831	3662
926	45900	3614
927	45952	3565
928	46008	3516
929	46061	3467
930	46127	3418
931	46193	3370
932	46264	3322
933	46321	3273
934	46382	3224
935	46461	3176
936	46536	3128
937	46616	3081
938	46686	3032
939	46763	2984
940	46832	2936
941	46889	2887
942	46964	2838
943	47023	2789
944	47084	2740
945	47157	2691
946	47249	2644
947	47316	2595
948	47381	2546
949	47443	2497
950	47504	2447
951	47576	2398
952	47648	2349
953	47720	2301
954	47875	2255
955	47933	2206
956	47989	2156
957	48053	2106
958	48107	2056
959	48173	2007
960	48240	1957
961	48308	1908
962	48383	1858
963	48449	1809
964	48518	1759
965	48586	1710
966	48661	1660
967	48718	1610
968	48776	1560
969	48838	1510
970	48899	1460
971	48959	1410
972	49020	1360
973	49079	1310
974	49138	1259
975	49210	1210
976	49274	1159
977	49332	1109
978	49401	1059
979	49466	1009
980	49530	959
981	49582	908
982	49633	858
983	49693	808
984	49754	757
985	49818	707
986	49892	657
987	49958	606
988	50030	556
989	50091	505
990	50146	455
991	50207	404
992	50265	354
993	50329	303
994	50382	253
995	50438	202
996	50495	151
997	50561	101
998	50620	50
999	50692	0
